content,date,like,place,tags,name_official,경도,위도
"#Repost @modrock_fleamarket (@get_repost)・・・10월 10일 11시부터 3시까지 모드락플리마켓 두번째장이 열립니다~^^각종 기념품, 생활용품, 악세사리등 다양한품목이 준비되어있어요~ 구경들오세요~.#모드락플리마켓#마리앙뚜아네트빵집#탑동#핸드메이드제품#제주도플리마켓#매주수요일#11:00~15:00#제주관광#제주기념품#제주북카페#탑동빵집",10/10/18,10,Antoinette,"['#Repost', '#모드락플리마켓', '#마리앙뚜아네트빵집', '#탑동', '#핸드메이드제품', '#제주도플리마켓', '#매주수요일', '#11:00~15:00', '#제주관광', '#제주기념품', '#제주북카페', '#탑동빵집']",앙뚜아네트 용담점,126.5088353,33.51618484
제주탐라문화제제주타투에서 후원하고 제주시에서 주최하는 탐라문화제가 10월10일부터 5일간 개최합니다.장소:제주시 동문로터리 기간:10월10일부터 5일간대규모 불꽃놀이 특별가수공연 등 다양한 이벤트가 준비되어 있으니 많은 관심과 참여 바랍니다.#탐라문화제 #제주핫플 #제주도여행 #제주관광 #제주문화 #제주추천 #제주타투 #제주도문신#jejuisland #제주도 #jejutattoo #tattoo #tattoos #like #hotplays #pointtattoo #tattoodesign,10/10/18,139,동문로터리,"['#탐라문화제', '#제주핫플', '#제주도여행', '#제주관광', '#제주문화', '#제주추천', '#제주타투', '#제주도문신', '#jejuisland', '#제주도', '#jejutattoo', '#tattoo', '#tattoos', '#like', '#hotplays', '#pointtattoo', '#tattoodesign']",동문로터리,126.5278046,33.51307418
2018.10.10전기장판좀돌려볼까?여름다음겨울,10/10/18,69,마마뜰,[],마마뜰,126.3335715,33.31019223
"제주에 매년 1~2회 정도는 여행을 간다.올해 휴가도 제주도.난 뚜벅이라 대중교통 이용이 아주 중요한데 이번 여행에서 아주 좋은 서비스를 알게 되었다.그건 바로 관광지순환버스!제주의 동부지역에는 많은 오름이 분포하고 있는데 대중교통으로 다니기에는 너무 힘들었다. 용눈이오름, 다랑쉬오름, 비자림, 거문오름 등등...이번에 관광지순환버스를 이용해보니 매우매우 편리했다.특히 1일이용권은 3,000원밖에 안해서 매우 저렴하고 30분 간격으로 운행하는 버스가 참 편리했다. 그러나 현재 지금의 코스 말고 근처 만장굴 정도나 몇 군데는 더 추가해야 하지 않을까 싶다.부디 폐지되지 않기를~~~.#제주여행#제주도보여행#관광지순환버스#이벤트#제주버스여행#제주관광#대천환승센터",10/10/18,10,Seogwipo,"['#제주여행', '#제주도보여행', '#관광지순환버스', '#이벤트', '#제주버스여행', '#제주관광', '#대천환승센터']",서귀포잠수함,126.5586161,33.23930338
"| EVENT<다시, 알뜨르> X AROUND•제주도에는 일제강점기 당시 전쟁용으로 쓰이던 알뜨르 비행장이 있습니다. 넓은 들판과 선선한 바닷바람이 부는 이곳에 듬성듬성 지어진 격납고는 역사의 아픔을 그대로 간직하고 있습니다.제주도립미술관에서 알뜨르 비행장의 역사를 다시 바라보고 일제 잔재 유물이라는 부정적인 인식을 전환하고자 ‘전환’이라는 주제로 10월 13일부터 11월 4일까지 <다시, 알뜨르> 전시를 진행합니다.•10월 14일에 개최되는 개막식에 어라운드와 위매거진이 아트&플리마켓을 함께합니다. ​ ​ ​ ​.#제주도립미술관 #알뜨르비행장 #아트프로젝트 #아트마켓 #플리마켓 #공연 #여행스케치 #서경덕 #토크콘서트 #투어 #제주관광 #도슨트 #전시 #관람 #자전거 #평화 #reboot #jmoa #artproject #artmarket #fleamarket #talkconcert #tour #다시알뜨르 #비행기",10/10/18,7,알뜨르 비행장,"['#제주도립미술관', '#알뜨르비행장', '#아트프로젝트', '#아트마켓', '#플리마켓', '#공연', '#여행스케치', '#서경덕', '#토크콘서트', '#투어', '#제주관광', '#도슨트', '#전시', '#관람', '#자전거', '#평화', '#reboot', '#jmoa', '#artproject', '#artmarket', '#fleamarket', '#talkconcert', '#tour', '#다시알뜨르', '#비행기']",알뜨르비행장,126.2715273,33.20471618
어떤 컬러가 입혀질까요?애월의 멋진 노을이 입혀지길기대해봅니다.🤗 19(fri)~20(sat)2018 October  3pm~7pm  몽상드애월 팜파네 정원#낙지#윤석주#청춘플리마켓 #버스킹#이벤트#제주도#애월#노을#우리들의추억#썬셋 #환영합니다 #몽상드애월 #화이팅 #엽서#팜파네#제주관광#한담산책로#베이커리카페,10/11/18,29,Jeju,"['#낙지', '#윤석주', '#청춘플리마켓', '#버스킹', '#이벤트', '#제주도', '#애월', '#노을', '#우리들의추억', '#썬셋', '#환영합니다', '#몽상드애월', '#화이팅', '#엽서', '#팜파네', '#제주관광', '#한담산책로', '#베이커리카페']",Jeju in aA,126.8365037,33.53833652
개인가...돼지인가... #반똘모#아메리칸불리#돌핀레저 #함덕레져 #델문도#함덕#함덕해수욕장#함덕서우봉#여름#제주도#제주관광#레져#제트스키#제트보트 #제주도여행 #제주도제트보트 #바나나보트#바이퍼#스피드보트#밴드웨곤#플라잉피쉬#다이빙#스노쿨링#체험다이빙#수상레져#물놀이#레저#여행 #함덕레져 #스킨스쿠버,10/11/18,72,구좌읍 평대리,"['#반똘모', '#아메리칸불리', '#돌핀레저', '#함덕레져', '#델문도', '#함덕', '#함덕해수욕장', '#함덕서우봉', '#여름', '#제주도', '#제주관광', '#레져', '#제트스키', '#제트보트', '#제주도여행', '#제주도제트보트', '#바나나보트', '#바이퍼', '#스피드보트', '#밴드웨곤', '#플라잉피쉬', '#다이빙', '#스노쿨링', '#체험다이빙', '#수상레져', '#물놀이', '#레저', '#여행', '#함덕레져', '#스킨스쿠버']",비자림,126.8099875,33.49040837
매우추움...#제주여행 #제주관광 #제주카트 #국내최대규모 #제쥬레포츠랜드 #국내최대규모카트장 #산악버기카 #짚라인 #사계절썰매장 #페인트사격 #서바이벌,10/11/18,7,제주레포츠랜드,"['#제주여행', '#제주관광', '#제주카트', '#국내최대규모', '#제쥬레포츠랜드', '#국내최대규모카트장', '#산악버기카', '#짚라인', '#사계절썰매장', '#페인트사격', '#서바이벌']",제주레포츠랜드,126.6387551,33.4820682
제주레포츠랜드 카트타기~#제주여행 #제주관광 #제주카트 #국내최대규모 #제주레포츠랜드 #국내최대규모카트장 #산악버기카 #짚라인 #사계절썰매장 #페인트사격 #서바이벌 #핫플레이스 #jeju #가볼만한곳 #한라산 #주상절리 #용머리해안 #산방산 #에코랜드 #절물자연휴양림 #산굼부리 #산도위치 #육떡식당 #청춘여관 #청춘회관 #너도나도ATV,10/11/18,31,제주레포츠랜드,"['#제주여행', '#제주관광', '#제주카트', '#국내최대규모', '#제주레포츠랜드', '#국내최대규모카트장', '#산악버기카', '#짚라인', '#사계절썰매장', '#페인트사격', '#서바이벌', '#핫플레이스', '#jeju', '#가볼만한곳', '#한라산', '#주상절리', '#용머리해안', '#산방산', '#에코랜드', '#절물자연휴양림', '#산굼부리', '#산도위치', '#육떡식당', '#청춘여관', '#청춘회관', '#너도나도ATV']",제주레포츠랜드,126.6387551,33.4820682
날 좋으니까 느즈막히 오름으로. 버스가 자주 오지 않아서 걱정했는데 기가막히게 순환버스까지 잘 갈아타고 도착했다. 앞오름이라는 뜻의 아부오름. 의외로 등장한 영화가 많고 분화구 안에 나무들도 영화촬영을 위해 심었다고. 걷는 내내 주변에 웨딩촬영 중이라 등장 안하려고 열심히 피해다녔다. (오늘 아님),10/11/18,57,아부오름,[],아부오름,126.777215,33.44858418
이번주는 날씨가 좋겠지요??^^간만에 참가합니다~^^ㆍ#벨롱장#세화포구 에서 만나요~^^ㆍ#제주도#제주관광#제주도가볼만한곳#드라이브코스#플리마켓#셀러참여#가죽다이어리#수제다이어리#수제노트#핸드메이드#기록#추억#선물#바람의향기#바람의향기가전해주는하루는,10/11/18,18,Jeju Island,"['#벨롱장', '#세화포구', '#제주도', '#제주관광', '#제주도가볼만한곳', '#드라이브코스', '#플리마켓', '#셀러참여', '#가죽다이어리', '#수제다이어리', '#수제노트', '#핸드메이드', '#기록', '#추억', '#선물', '#바람의향기', '#바람의향기가전해주는하루는']",제주도,126.5458736,33.37977782
"#엉또폭포 비가 많이 와야만 볼 수 있다는 #귀한폭포 #천제연폭포 #천지연폭포 #정방폭포 과감히 패스하고 갔는데,가는 길도 편하고, #감귤밭 도 실컷 볼 수 있어서 신났음🙊・・・#제주도엉또폭포 #제주도폭포 #제주폭포 #제주도관광 #제주도관광지 #제주관광 #제주관광지 #서귀포관광지 #서귀포시관광 #jeju #jejuisland #제주여행 #제주도여행 #제주풍경 #제주도풍경 #여행스타그램",10/11/18,56,엉또폭포,"['#엉또폭포', '#귀한폭포', '#천제연폭포', '#천지연폭포', '#정방폭포', '#감귤밭', '#제주도엉또폭포', '#제주도폭포', '#제주폭포', '#제주도관광', '#제주도관광지', '#제주관광', '#제주관광지', '#서귀포관광지', '#서귀포시관광', '#jeju', '#jejuisland', '#제주여행', '#제주도여행', '#제주풍경', '#제주도풍경', '#여행스타그램']",엉또폭포,126.4999655,33.26853216
#제주쇠소깍 효돈천(옛지명 : 쇠둔우둔) 하구(깍)에서 솟아나는 민물과바닷물이 만나 깊은 웅덩이를 이루고 있어 이름 불려진 #쇠소깍 태풍으로 출입금지는 아쉬었지만 달콤한 #효돈감귤 을 맛볼 수 있어 좋았음🍊・・・#제주관광 #제주관광지 #제주도관광 #제주도관광지 #제주관광명소 #제주도관광명소 #서귀포관광 #서귀포시관광 #jeju #jejuisland #제주여행 #제주도여행 #제주감귤 #제주도풍경 #제주풍경 #여행스타그램,10/11/18,60,쇠소깍,"['#제주쇠소깍', '#쇠소깍', '#효돈감귤', '#제주관광', '#제주관광지', '#제주도관광', '#제주도관광지', '#제주관광명소', '#제주도관광명소', '#서귀포관광', '#서귀포시관광', '#jeju', '#jejuisland', '#제주여행', '#제주도여행', '#제주감귤', '#제주도풍경', '#제주풍경', '#여행스타그램']",쇠소깍,126.6224051,33.25424607
"알뜨르 비행장으로 오세요. .• 개막식 : 10월 14일 (일요일) 14:00 시작 ~ 알뜨르 비행장으로 당신을 초대합니다 🙌🏻.아트 프로젝트 <다시, 알뜨르> 제주 대정에 있는 알뜨르비행장, 일제강점기 일본이 비행기를 숨기고 띄우기 위해 만든 일 제국주의의 흔적입니다. 듬성듬성 지어진 격납고안에서 예술로 역사의 아픔을 표현합니다.10월 14일 개막식 서경덕 교수의 토크콘서트여행스케치 공연 - 도슨트와 함께하는 투어 - 아트 & 플리마켓, collaboration with AROUND MAGAZINE10월 13일부터 11월 4일까지 상시프로그램  격납고 & 지하벙커 작품 전시, 도슨트 운영, 알뜨르 자전거 투어, 스탬프 랠리알뜨르비행장, 우리는 이 일제 잔재유물을 어두운 과거의 단면으로만 정의하는 대신 화합과 평화, 미래로 나아가는 시작으로 정의합니다. 문의 : 064-743-8001.#제주도립미술관 #알뜨르비행장 #아트프로젝트 #아트마켓 #플리마켓 #공연 #여행스케치 #서경덕 #토크콘서트 #투어 #제주관광 #도슨트 #전시 #관람 #자전거 #평화 #reboot #jmoa #artproject #artmarket #fleamarket #talkconcert #tour #다시알뜨르 #비행기",10/11/18,9,알뜨르 비행장,"['#제주도립미술관', '#알뜨르비행장', '#아트프로젝트', '#아트마켓', '#플리마켓', '#공연', '#여행스케치', '#서경덕', '#토크콘서트', '#투어', '#제주관광', '#도슨트', '#전시', '#관람', '#자전거', '#평화', '#reboot', '#jmoa', '#artproject', '#artmarket', '#fleamarket', '#talkconcert', '#tour', '#다시알뜨르', '#비행기']",알뜨르비행장,126.2715273,33.20471618
#한복담 in #제주🌸#韩服谈 in -#济州🧡..#한복👛 입고 즐겨보아요^^#제주모관야행👭.#제주여행 #제주한복대여 #제주한복#제주한복여행 #제주한복촬영 #제주체험 #제주관광 #제주한복체험#济州 #济州岛韩服#济州岛攻略 #济州岛 #济州韩服体验 #济州岛旅游 #济州韩服租赁 #济州韩服#jejutrip #jejuhanbok #hanbok#jejutravel #experience,10/12/18,14,관덕정,"['#한복담', '#제주🌸', '#韩服谈', '#济州\U0001f9e1..', '#한복👛', '#제주모관야행👭.', '#제주여행', '#제주한복대여', '#제주한복', '#제주한복여행', '#제주한복촬영', '#제주체험', '#제주관광', '#제주한복체험', '#济州', '#济州岛韩服', '#济州岛攻略', '#济州岛', '#济州韩服体验', '#济州岛旅游', '#济州韩服租赁', '#济州韩服', '#jejutrip', '#jejuhanbok', '#hanbok', '#jejutravel', '#experience']",관덕정,126.5214571,33.51334915
"..내가 좋아하는 꼬마귤🍊이제 정말 곧,..#제주에인감귤밭 #이제곧 #감귤체험 #감귤밭 #감귤밭카페 #제주카페 #제주카페추천 #서귀포카페 #서귀포카페추천#제주선물 #제주선물추천#감귤잼 #한라봉청 #청귤청 #금귤청 #제주여행 #제주관광 #노리매공원 #카멜리아힐 #핑크뮬리#제주가볼만한곳 #제주사진찍기좋은곳",10/12/18,65,제주에인감귤밭,"['#제주에인감귤밭', '#이제곧', '#감귤체험', '#감귤밭', '#감귤밭카페', '#제주카페', '#제주카페추천', '#서귀포카페', '#서귀포카페추천', '#제주선물', '#제주선물추천', '#감귤잼', '#한라봉청', '#청귤청', '#금귤청', '#제주여행', '#제주관광', '#노리매공원', '#카멜리아힐', '#핑크뮬리', '#제주가볼만한곳', '#제주사진찍기좋은곳']",제주에인감귤밭,126.5390139,33.25656069
#대포해안주상절리대용암이 식으면서 수축되어 만들어진 육각형의 돌 #주상절리 20년전 제주도 처음 왔을 때 제일 감탄스러웠던게 바로 여기!곳곳에 포토스팟도 있어 사진 찍는 재미도 있음🤩・・・#제주중문주상절리대 #제주주상절리 #제주주상절리대 #제주대포주상절리 #대포해안주상절리 #중문관광지 #중문관광 #서귀포관광 #서귀포시관광 #jeju #jejuisland #제주관광 #제주관광지 #제주도관광 #제주도관광지 #제주여행 #제주도여행 #여행스타그램,10/12/18,49,주상절리대,"['#대포해안주상절리대용암이', '#주상절리', '#제주중문주상절리대', '#제주주상절리', '#제주주상절리대', '#제주대포주상절리', '#대포해안주상절리', '#중문관광지', '#중문관광', '#서귀포관광', '#서귀포시관광', '#jeju', '#jejuisland', '#제주관광', '#제주관광지', '#제주도관광', '#제주도관광지', '#제주여행', '#제주도여행', '#여행스타그램']",중문대포주상절리대,126.4260174,33.23799399
#겉보다 속이 #아름다운 #카페 ☕🍹#착한가격 #반전매력#법환동 #제스토리 #2층에서 #풍경 🏖...#제주살이 #제주도민 #소통해요 #제주도 #제주라이프 #풍경사진 #힐링 #힐링스타그램 #제주여행 #제주관광 #제주도여행 #제주 #일상 #일상스타그램 #제주카페 #서귀포카페 #카페투어 #카페탐방 #힐링카페,10/12/18,173,법환동,"['#겉보다', '#아름다운', '#카페', '#착한가격', '#반전매력', '#법환동', '#제스토리', '#2층에서', '#풍경', '#제주살이', '#제주도민', '#소통해요', '#제주도', '#제주라이프', '#풍경사진', '#힐링', '#힐링스타그램', '#제주여행', '#제주관광', '#제주도여행', '#제주', '#일상', '#일상스타그램', '#제주카페', '#서귀포카페', '#카페투어', '#카페탐방', '#힐링카페']",올레길 7코스(서귀포-월평 올레),126.5153097,33.23738579
"평대리 숨은 맛집! 세러데이아일랜드😝재료가 떨어지기 전에 방문하셔야되요~~미리 예약하시는 것이 제일 좋고!!(노쇼는 절대 사절🤬) 사장님께서 직접 공수해 오시는 신선한 해물이 입안에서 살아 움직이는, 너무 잘 먹었어요^^ 딱새우를 직화하셔서 껍질이 엄청 부드러운~또먹고싶다😩#제주#평대리#평대리맛집#세러데이아일랜드#사장님께서직접#공수하신#신선한해물#오늘먹은건#시칠리아파스타#넘나매콤#매운거좋아하시는분들강추#시칠리아파스타#전복리조또#스트레스해방#존맛#또가고싶어#제주관광#제주맛집#제료소진시마감#서두루세요#다음엔와인과함께🍷#제일주류#수입와인",10/13/18,45,Saturdayisland,"['#제주', '#평대리', '#평대리맛집', '#세러데이아일랜드', '#사장님께서직접', '#공수하신', '#신선한해물', '#오늘먹은건', '#시칠리아파스타', '#넘나매콤', '#매운거좋아하시는분들강추', '#시칠리아파스타', '#전복리조또', '#스트레스해방', '#존맛', '#또가고싶어', '#제주관광', '#제주맛집', '#제료소진시마감', '#서두루세요', '#다음엔와인과함께🍷', '#제일주류', '#수입와인']",세러데이아일랜드,126.8440614,33.53252465
제주도 어느날~~~~ ..#용연구름다리 #제주도#jejuisland #jejudo #jejutravel #goodwater #travel #일상스냅#daily #픽쳐그램 #가을 #가을하늘 #구름다리 #photozone #풍경#jejudolife #여행에미치다 #여행스타그램 #제주스타그램#제주관광 #국내여행 #autumn,10/13/18,124,용연구름다리,"['#용연구름다리', '#제주도', '#jejuisland', '#jejudo', '#jejutravel', '#goodwater', '#travel', '#일상스냅', '#daily', '#픽쳐그램', '#가을', '#가을하늘', '#구름다리', '#photozone', '#풍경', '#jejudolife', '#여행에미치다', '#여행스타그램', '#제주스타그램', '#제주관광', '#국내여행', '#autumn']",용연구름다리,126.5143922,33.51488321
"병원갔다 집에오는길에 설아찡 울고불고 하길레,(울음의 끝은 항상 분수토😨)-잠깐 쉬었다갈려고 들어가서 걸었는데..너무나 좋으네.-걷는중 설아찡잠.차에 태우니 잠.집에오니 깸.😱-#한라생태숲#제주여행#제주관광#제주도민#제주도#jeju#jejulsland",10/13/18,59,한라생태숲,"['#한라생태숲', '#제주여행', '#제주관광', '#제주도민', '#제주도', '#jeju', '#jejulsland']",한라생태숲,126.5976996,33.43129334
#빅뱅 #승리 #일본라멘 🥘🥢#나도먹었다 #아오리라멘...#빅뱅승리 #승리라멘#제주살이 #제주도민 #소통해요 #제주도 #제주라이프 #풍경사진 #힐링 #힐링스타그램 #제주여행 #제주관광 #제주도여행 #제주 #일상 #일상스타그램 #제주맛집 #제주도맛집 #서귀포맛집 #맛집추천 #맛집탐방 #맛집소개,10/13/18,183,제주신화월드 Jeju Shinhwa World,"['#빅뱅', '#승리', '#일본라멘', '#나도먹었다', '#아오리라멘...', '#빅뱅승리', '#승리라멘', '#제주살이', '#제주도민', '#소통해요', '#제주도', '#제주라이프', '#풍경사진', '#힐링', '#힐링스타그램', '#제주여행', '#제주관광', '#제주도여행', '#제주', '#일상', '#일상스타그램', '#제주맛집', '#제주도맛집', '#서귀포맛집', '#맛집추천', '#맛집탐방', '#맛집소개']",서머셋 제주신화월드,126.3172648,33.30275469
